2022-03-02 14:20:25,624 root  WARNING   [!] Starting emulation.
2022-03-02 14:20:50,308 root  DEBUG     [*] 19/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/dcb3f87904564ae2425e64b88ab6eb4ffa874d7737fb579d73afd23581b93861 ...
2022-03-02 14:20:51,026 root  DEBUG     [+] Finished emulation, took: 0.59s, API calls acquired: 501

2022-03-02 14:20:51,026 root  DEBUG     [*] 20/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/47850f8877a4c1ab52ba30fd08b807e0353e9b008ad021f485ce27307d06c635 ...
2022-03-02 14:20:51,874 root  DEBUG     [+] Finished emulation, took: 0.60s, API calls acquired: 501

2022-03-02 14:20:51,874 root  DEBUG     [*] 21/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/566eee582d3bf518762dbe47a500bc18abdc4ca63d5a95b003c63529d8ee80e4 ...
2022-03-02 14:20:58,977 root  DEBUG     [+] Finished emulation, took: 0.61s, API calls acquired: 501

2022-03-02 14:20:58,978 root  DEBUG     [*] 22/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/f03ecff46efb020bf466e309f65afbd46b3415f3b3fc9cc6b92fc4ac749dc8c9 ...
2022-03-02 14:20:59,755 root  DEBUG     [+] Finished emulation, took: 0.63s, API calls acquired: 501

2022-03-02 14:20:59,756 root  DEBUG     [*] 23/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/5bf3134d13fd031b2495ca0158d2a43be328ef69e1a4b6ae29eeba0c82cddc73 ...
2022-03-02 14:21:01,656 root  DEBUG     [+] Finished emulation, took: 0.58s, API calls acquired: 501

2022-03-02 14:21:01,656 root  DEBUG     [*] 24/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/167a8763fd14035b784aa9ffc601566231635a86d5f72c786683156d1f20ef4c ...
2022-03-02 14:21:05,189 root  DEBUG     [+] Finished emulation, took: 3.47s, API calls acquired: 150

2022-03-02 14:21:05,189 root  DEBUG     [*] 25/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/f4078936ec185dbc21b702928e15c93b142468a89f3630546a03eafdbe094dda ...
2022-03-02 14:21:07,566 root  DEBUG     [+] Finished emulation, took: 2.31s, API calls acquired: 501

2022-03-02 14:21:07,566 root  DEBUG     [*] 26/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/2574e522022db9cfa489855e6751142af2d456f9d640a5568c293cb8592980ae ...
2022-03-02 14:21:08,481 root  DEBUG     [+] Finished emulation, took: 0.54s, API calls acquired: 501

2022-03-02 14:21:08,481 root  DEBUG     [*] 27/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/1d2019ca242e5af817302e02793bba3d76001e063b461b7a4ede26d3ffd53d00 ...
2022-03-02 14:21:09,262 root  DEBUG     [+] Finished emulation, took: 0.62s, API calls acquired: 501

2022-03-02 14:21:09,262 root  DEBUG     [*] 28/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/5b2f50540f7865b4bf8c88a440b2a9e816b0d3a40088f2c71800402dcba0a0b6 ...
2022-03-02 14:21:10,245 root  DEBUG     [+] Finished emulation, took: 0.61s, API calls acquired: 499

2022-03-02 14:21:10,245 root  DEBUG     [*] 29/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/246f0d9e2b8fc81deeb6a753ba6170cab0edf4131d4bd36f499a957f7fd287e1 ...
2022-03-02 14:21:10,965 root  DEBUG     [+] Finished emulation, took: 0.58s, API calls acquired: 501

2022-03-02 14:21:10,965 root  DEBUG     [*] 30/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/4a1bb4bde1ea920f30fb8286836946405d518a278545da754bab5e1e5ccc92f5 ...
2022-03-02 14:21:11,828 root  DEBUG     [+] Finished emulation, took: 0.59s, API calls acquired: 501

2022-03-02 14:21:11,828 root  DEBUG     [*] 31/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/4eb4c64bc4f3640f9ef3245a5fbb53a3101883e55e6cf02f02df8b21a9aa3c54 ...
2022-03-02 14:21:12,549 root  DEBUG     [+] Finished emulation, took: 0.63s, API calls acquired: 369

2022-03-02 14:21:12,549 root  DEBUG     [*] 32/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/88f81ad4bd11cf39a5fbbbc605b4fd4d84cb5aea0065f62d1554f7b1a803e1b7 ...
2022-03-02 14:21:13,444 root  DEBUG     [+] Finished emulation, took: 0.76s, API calls acquired: 499

2022-03-02 14:21:13,444 root  DEBUG     [*] 33/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/f8a692a5fd4adfd2e4bf787e69cc60a3377f84d713af67056f38a9e04dc1bfa2 ...
2022-03-02 14:21:14,502 root  DEBUG     [+] Finished emulation, took: 0.62s, API calls acquired: 501

2022-03-02 14:21:14,503 root  DEBUG     [*] 34/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/6192f1359cabea677dcabc344b81994905e61423f141398979d27b316ed94b17 ...
2022-03-02 14:21:15,262 root  DEBUG     [+] Finished emulation, took: 0.67s, API calls acquired: 499

2022-03-02 14:21:15,262 root  DEBUG     [*] 35/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/5fe125fdfb691357a954e003348e0ea8cb470e44c45a39768926880abab62633 ...
2022-03-02 14:21:16,521 root  DEBUG     [+] Finished emulation, took: 0.55s, API calls acquired: 403

2022-03-02 14:21:16,521 root  DEBUG     [*] 36/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/22db5ad82c8269afaf583ca534b8708ccc41526733343db19a1a86be096fc23a ...
2022-03-02 14:21:17,373 root  DEBUG     [+] Finished emulation, took: 0.65s, API calls acquired: 499

2022-03-02 14:21:17,373 root  DEBUG     [*] 37/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/98d0bc467cb1fd43ac84292a35087b63b99837966f952b45c6fa973e20b5892a ...
2022-03-02 14:21:19,129 root  DEBUG     [+] Finished emulation, took: 0.57s, API calls acquired: 501

2022-03-02 14:21:19,129 root  DEBUG     [*] 38/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/381309dbe2ac10e674c056f088d2c1ea68651be95c250acdd753b26541cfcf9f ...
2022-03-02 14:21:19,746 root  DEBUG     [+] Finished emulation, took: 0.55s, API calls acquired: 501

2022-03-02 14:21:19,746 root  DEBUG     [*] 39/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/b451dc4ab56bdfac438cbd3f7abd84c145ce17de43810d3a6aa739c7341b51ce ...
2022-03-02 14:21:20,474 root  DEBUG     [+] Finished emulation, took: 0.61s, API calls acquired: 499

2022-03-02 14:21:20,475 root  DEBUG     [*] 40/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/580e75be381bd4716f41138ddb0b6025e93603c421a4fd73064c75b56f245844 ...
2022-03-02 14:21:21,570 root  DEBUG     [+] Finished emulation, took: 0.68s, API calls acquired: 501

2022-03-02 14:21:21,570 root  DEBUG     [*] 41/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/bbb7ae8668eed30c17d18a7527fe1b1714080cf8defcc46bf8144f171b184c29 ...
2022-03-02 14:21:22,444 root  DEBUG     [+] Finished emulation, took: 0.69s, API calls acquired: 490

2022-03-02 14:21:22,444 root  DEBUG     [*] 42/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/b2ece95094ccce870b4d143e55e01109c5752486e48eab92a5c185eb2a98bb06 ...
2022-03-02 14:21:23,182 root  DEBUG     [+] Finished emulation, took: 0.65s, API calls acquired: 499

2022-03-02 14:21:23,182 root  DEBUG     [*] 43/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/239f62d3eb9e7df97e2ab61acd0d5f275b55c8e45d1778d91e88101895a09e59 ...
2022-03-02 14:21:23,995 root  DEBUG     [+] Finished emulation, took: 0.67s, API calls acquired: 499

2022-03-02 14:21:23,995 root  DEBUG     [*] 44/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/681ca902b4f78ad28d616ed05344c36b0eb0aa7122dbfcdfde8d00ff9298444a ...
2022-03-02 14:21:25,552 root  DEBUG     [+] Finished emulation, took: 0.55s, API calls acquired: 501

2022-03-02 14:21:25,553 root  DEBUG     [*] 45/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/794234324925454d570bcb346ef0bbaf230473f14f11b6b2d836faacb96ea62b ...
2022-03-02 14:21:26,567 root  DEBUG     [+] Finished emulation, took: 0.56s, API calls acquired: 501

2022-03-02 14:21:26,567 root  DEBUG     [*] 46/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/5e0b4cdeaa74490e51b26891916be3121bb7c82caa18d13d3c7c55b0f392cd6b ...
2022-03-02 14:21:31,554 root  DEBUG     [+] Finished emulation, took: 4.91s, API calls acquired: 249

2022-03-02 14:21:31,554 root  DEBUG     [*] 47/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/de79945b7f4fd3fa5a18413bef9dd99ac2514226c188a857ac6609fbca3d87e7 ...
2022-03-02 14:21:32,443 root  DEBUG     [+] Finished emulation, took: 0.66s, API calls acquired: 501

2022-03-02 14:21:32,443 root  DEBUG     [*] 48/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/cc11aa65c8caee6ab8408a75d408d46c3434f67a4620e7e46d6136fdad7ee6b8 ...
2022-03-02 14:21:33,188 root  DEBUG     [+] Finished emulation, took: 0.64s, API calls acquired: 337

2022-03-02 14:21:33,188 root  DEBUG     [*] 49/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/3aa4fa6671c06a63ab72ae3c24fd439d5a948f4d1222de550db7608209f232e6 ...
2022-03-02 14:21:36,456 root  DEBUG     [+] Finished emulation, took: 3.23s, API calls acquired: 150

2022-03-02 14:21:36,456 root  DEBUG     [*] 50/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/1396afe9612ec2dbf4aa634c84f98ec19cacfdf65b94e52f1417175e447a2a14 ...
2022-03-02 14:21:37,310 root  DEBUG     [+] Finished emulation, took: 0.70s, API calls acquired: 490

2022-03-02 14:21:37,310 root  DEBUG     [*] 51/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/1598768e3192f7870ea04ad7d280d806c455b545664f29886159c5905aafaeed ...
2022-03-02 14:21:38,239 root  DEBUG     [+] Finished emulation, took: 0.71s, API calls acquired: 499

2022-03-02 14:21:38,239 root  DEBUG     [*] 52/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/aa7c32140d581fb99d3d6ec9f993306276da72db2e1f99e5d9abcea23321d2d1 ...
2022-03-02 14:21:39,640 root  DEBUG     [+] Finished emulation, took: 1.35s, API calls acquired: 150

2022-03-02 14:21:39,640 root  DEBUG     [*] 53/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/770c19d2cc4cb760b51a3c626ce5d846fdcddf896f0d6b50129b848d874b51da ...
2022-03-02 14:21:40,392 root  DEBUG     [+] Finished emulation, took: 0.65s, API calls acquired: 367

2022-03-02 14:21:40,392 root  DEBUG     [*] 54/11088: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/backdoor/50aa2e9e5fecb258d640fb1d123318cce89d7d13f28a0a582061ff510cf70a15 ...
2022-03-02 14:21:44,040 root  DEBUG     [+] Finished emulation, took: 0.61s, API calls acquired: 403

