
2022-03-02 14:20:38,102 root  DEBUG     [*] 12/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/84a4f27fa8ee70c57af9561b348415bc94672b0942262e288ed3244ea6b20f39 ...
2022-03-02 14:20:38,409 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:38,409 root  DEBUG     [+] Finished emulation, took: 0.26s, API calls acquired: 1

2022-03-02 14:20:38,409 root  DEBUG     [*] 13/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/8c4480cecb8f6304bcb277452ae929b420dc2ac9ea229ddcd921e85040221bea ...
2022-03-02 14:20:39,364 root  DEBUG     [+] Finished emulation, took: 0.35s, API calls acquired: 141

2022-03-02 14:20:39,365 root  DEBUG     [*] 14/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/11da4ee94f94ce72adf03eca42e328dcaa93057a0cb0efba489003e7fd699397 ...
2022-03-02 14:20:40,606 root  DEBUG     [+] Finished emulation, took: 0.42s, API calls acquired: 225

2022-03-02 14:20:40,607 root  DEBUG     [*] 15/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/3ad5a59aadaf453ab523d72b8ce30884c2d905737fb53974e9862a78b214e722 ...
2022-03-02 14:20:40,980 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_write']; APIs: [{'pc': '0x4013b2', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x401d90'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:40,980 root  DEBUG     [+] Finished emulation, took: 0.23s, API calls acquired: 1

2022-03-02 14:20:40,980 root  DEBUG     [*] 16/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/cfb750ef7353b946586c98f3b1769f0f3419f6a9c5ccb751d3bedba103be218a ...
2022-03-02 14:20:41,259 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:41,259 root  DEBUG     [+] Finished emulation, took: 0.23s, API calls acquired: 1

2022-03-02 14:20:41,259 root  DEBUG     [*] 17/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/26ed01239a4d8c7545814dfda538b72eb59e06f0f7656bb8cdc2432f3f44fc98 ...
2022-03-02 14:20:41,531 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:41,531 root  DEBUG     [+] Finished emulation, took: 0.23s, API calls acquired: 1

2022-03-02 14:20:41,531 root  DEBUG     [*] 18/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/4cd6336150de8615de703e3eeffa19dce57e2bc2b0210c1cffe52d66a1832f0d ...
2022-03-02 14:20:41,828 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:41,828 root  DEBUG     [+] Finished emulation, took: 0.25s, API calls acquired: 1

2022-03-02 14:20:41,828 root  DEBUG     [*] 19/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/d86d41c6e5968af3e17d236eaba240fee1073aac66052571c27a790452f2ddf5 ...
2022-03-02 14:20:42,217 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:42,217 root  DEBUG     [+] Finished emulation, took: 0.34s, API calls acquired: 1

2022-03-02 14:20:42,218 root  DEBUG     [*] 20/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/e4bf5766dbb98978daaaa687fff5a6b489ce63b6a1901dcf9e216536c3d3a52f ...
2022-03-02 14:20:42,551 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:42,552 root  DEBUG     [+] Finished emulation, took: 0.28s, API calls acquired: 1

2022-03-02 14:20:42,552 root  DEBUG     [*] 21/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/d8cd54926b397274502b7b1088371531d9f2d2d5699307ed806d1545a70ea097 ...
2022-03-02 14:20:42,860 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:42,860 root  DEBUG     [+] Finished emulation, took: 0.26s, API calls acquired: 1

2022-03-02 14:20:42,860 root  DEBUG     [*] 22/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/1090420584e0037aeff38f6405c93a072f4a118cd8c004dac2d56b90d2d3f9e1 ...
2022-03-02 14:20:43,156 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:43,156 root  DEBUG     [+] Finished emulation, took: 0.25s, API calls acquired: 1

2022-03-02 14:20:43,156 root  DEBUG     [*] 23/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/62fc81310a1ea0e3fa73798d024193e0ac1bc75288446e17cbbe82dfbb781500 ...
2022-03-02 14:20:43,442 root  DEBUG     [DBG]: API nr.: 1; Err: ['invalid_read']; APIs: [{'pc': '0x40127e', 'api_name': 'MSVBVM60.ordinal_100', 'args': ['0x40158c'], 'ret_val': '0x4012ac'}]
2022-03-02 14:20:43,442 root  DEBUG     [+] Finished emulation, took: 0.24s, API calls acquired: 1

2022-03-02 14:20:43,442 root  DEBUG     [*] 24/9536: emulating /data/quo.vadis/data/pe.dataset/PeX86Exe/rat/dba286faa1c336b0f8b88f993f3864d047d32c017a3a80399b9fc26bda95fbb4 ...
2022-03-02 14:20:45,315 root  DEBUG     [+] Finished emulation, took: 0.35s, API calls acquired: 141

